[u'2017-05-22 07:59\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'zealous_ardinghelli\xa0(31)']
[u'2017-05-22 08:45\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'modest_clarke\xa0(30)']
[u'2017-05-22 09:10\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'friendly_edison\xa0(35)']
[u'2017-05-22 09:25\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'cranky_mccarthy\xa0(27)']
[u'2017-05-22 09:31\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'determined_goldwasser\xa0(34)']
[u'2017-05-22 09:59\xa0UTC', u'bl627', u'0\xa0\U0001f353', u'hopeful_liskov\xa0(3)']
[u'2017-05-22 10:52\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'lucid_roentgen\xa0(24)']
[u'2017-05-22 10:59\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'elegant_sinoussi\xa0(18)']
[u'2017-05-22 11:02\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'hopeful_liskov\xa0(3)']
[u'2017-05-22 11:39\xa0UTC', u'hellman', u'0\xa0\U0001f353', u'determined_goldwasser\xa0(34)']
[u'2017-05-22 11:40\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'vigilant_wescoff\xa0(12)']
[u'2017-05-22 11:56\xa0UTC', u'Walter White', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-22 11:56\xa0UTC', u'hellman', u'0\xa0\U0001f353', u'friendly_edison\xa0(35)']
[u'2017-05-22 11:57\xa0UTC', u'Walter White', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-22 12:05\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'hopeful_liskov\xa0(3)']
[u'2017-05-22 12:11\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-05-22 12:32\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'clever_hoover\xa0(32)']
[u'2017-05-22 20:46\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-05-22 21:00\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'focused_gary\xa0(20)']
[u'2017-05-22 21:08\xa0UTC', u'TheRealDonkeyKong', u'0\xa0\U0001f353', u'cranky_mccarthy\xa0(27)']
[u'2017-05-23 08:05\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'modest_clarke\xa0(30)']
[u'2017-05-23 08:35\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'friendly_edison\xa0(35)']
[u'2017-05-23 08:45\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'determined_goldwasser\xa0(34)']
[u'2017-05-23 08:55\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'zealous_ardinghelli\xa0(31)']
[u'2017-05-23 09:16\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'lucid_roentgen\xa0(24)']
[u'2017-05-23 10:03\xa0UTC', u'OverTime', u'0\xa0\U0001f353', u'lucid_roentgen\xa0(24)']
[u'2017-05-23 12:26\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'vigilant_wescoff\xa0(12)']
[u'2017-05-23 12:27\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'stupefied_varahamihira\xa0(16)']
[u'2017-05-23 12:29\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'lucid_roentgen\xa0(24)']
[u'2017-05-23 12:30\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'modest_clarke\xa0(30)']
[u'2017-05-23 12:30\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'zealous_ardinghelli\xa0(31)']
[u'2017-05-23 12:31\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'determined_goldwasser\xa0(34)']
[u'2017-05-23 12:32\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'friendly_edison\xa0(35)']
[u'2017-05-23 14:11\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'wizardly_shannon\xa0(6)']
[u'2017-05-23 14:12\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'angry_meitner\xa0(7)']
[u'2017-05-23 14:12\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'elegant_sinoussi\xa0(18)']
[u'2017-05-24 11:12\xa0UTC', u'SdeH', u'0\xa0\U0001f353', u'nifty_heisenberg\xa0(41)']
[u'2017-05-24 14:15\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'nifty_heisenberg\xa0(41)']
[u'2017-05-24 15:33\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'modest_clarke\xa0(30)']
[u'2017-05-24 16:20\xa0UTC', u'pschorrhacker', u'0\xa0\U0001f353', u'zealous_ardinghelli\xa0(31)']
[u'2017-05-24 23:19\xa0UTC', u'pschorrhacker', u'1\xa0\U0001f353', u'practical_franklin\xa0(42)']
[u'2017-05-25 14:25\xa0UTC', u'Team Megaloblastt', u'0\xa0\U0001f353', u'nifty_heisenberg\xa0(41)']
