[u'#14', u'816', u'compassionate_albattani', u'0\xa0\U0001f353', u'GMorseCode', u'Broken!', u'2017-08-26 16:39\xa0UTC', u'2017-08-26 22:25\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'52', u'eloquent_indiana', u'0\xa0\U0001f353', u'negainoido', u'Broken!', u'2017-06-04 13:12\xa0UTC', u'2017-06-05 13:12\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'55', u'famous_stonebraker', u'0\xa0\U0001f353', u'ssmiler', u'Broken!', u'2017-06-06 16:38\xa0UTC', u'2017-06-06 21:07\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'57', u'thirsty_fermat', u'0\xa0\U0001f353', u'therealvalensteam', u'Broken!', u'2017-06-07 13:31\xa0UTC', u'2017-06-07 14:15\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'60', u'happy_yalow', u'0\xa0\U0001f353', u'ssmiler', u'Broken!', u'2017-06-09 20:39\xa0UTC', u'2017-06-09 21:07\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'572', u'eager_golick', u'0\xa0\U0001f353', u'Milky Chest', u'Broken!', u'2017-08-01 00:37\xa0UTC', u'2017-08-01 06:59\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'61', u'nostalgic_noether', u'0\xa0\U0001f353', u'ssmiler', u'Broken!', u'2017-06-09 20:42\xa0UTC', u'2017-06-09 21:08\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'63', u'silly_kare', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-24 16:26\xa0UTC', u'2017-06-24 16:57\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'64', u'inspiring_ptolemy', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-24 16:27\xa0UTC', u'2017-06-24 17:06\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'65', u'unruffled_jones', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-24 16:28\xa0UTC', u'2017-06-24 17:06\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'66', u'affectionate_johnson', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-24 16:29\xa0UTC', u'2017-06-24 17:05\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'67', u'hardcore_volhard', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-24 17:18\xa0UTC', u'2017-06-24 17:26\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'69', u'hungry_elion', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-24 21:10\xa0UTC', u'2017-06-24 21:49\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'70', u'smart_blackwell', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-24 22:28\xa0UTC', u'2017-06-24 23:19\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'72', u'jolly_lamport', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-25 08:50\xa0UTC', u'2017-06-25 09:06\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'73', u'heuristic_nobel', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-25 20:32\xa0UTC', u'2017-06-25 20:38\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'846', u'smart_ardinghelli', u'0\xa0\U0001f353', u'GMorseCode', u'Broken!', u'2017-08-30 22:35\xa0UTC', u'2017-08-31 01:44\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'847', u'sharp_hoover', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-08-31 14:24\xa0UTC', u'2017-08-31 14:56\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'848', u'jolly_berson', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-08-31 14:25\xa0UTC', u'2017-08-31 14:56\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'852', u'relaxed_brown', u'0\xa0\U0001f353', u'double', u'Broken!', u'2017-08-31 15:59\xa0UTC', u'2017-08-31 21:37\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'85', u'boring_knuth', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-28 21:31\xa0UTC', u'2017-06-28 21:35\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'86', u'pedantic_stallman', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-06-28 21:32\xa0UTC', u'2017-06-28 21:36\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'855', u'quizzical_easley', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-08-31 22:25\xa0UTC', u'2017-08-31 22:31\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'348', u'thirsty_aryabhata', u'0\xa0\U0001f353', u'Mr.Hyde', u'Broken!', u'2017-07-30 16:32\xa0UTC', u'2017-07-30 23:21\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'106', u'xenodochial_northcutt', u'0\xa0\U0001f353', u'alec', u'Broken!', u'2017-06-29 17:39\xa0UTC', u'2017-06-29 21:48\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'880', u'angry_jones', u'0\xa0\U0001f353', u'GMorseCode', u'Broken!', u'2017-08-31 23:10\xa0UTC', u'2017-09-01 00:05\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'116', u'infallible_austin', u'0\xa0\U0001f353', u'Stradivarius', u'Broken!', u'2017-06-30 21:35\xa0UTC', u'2017-06-30 23:36\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'132', u'friendly_wing', u'0\xa0\U0001f353', u'alec', u'Broken!', u'2017-07-09 15:29\xa0UTC', u'2017-07-09 17:34\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'133', u'frosty_saha', u'0\xa0\U0001f353', u'Feeker', u'Broken!', u'2017-07-10 10:02\xa0UTC', u'2017-07-10 10:06\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'135', u'epic_borg', u'0\xa0\U0001f353', u'Feeker', u'Broken!', u'2017-07-10 10:29\xa0UTC', u'2017-07-10 10:35\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'137', u'compassionate_jang', u'0\xa0\U0001f353', u'coder1987', u'Broken!', u'2017-07-11 06:20\xa0UTC', u'2017-07-11 06:48\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'138', u'nifty_babbage', u'0\xa0\U0001f353', u'coder1987', u'Broken!', u'2017-07-11 07:50\xa0UTC', u'2017-07-11 07:54\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'139', u'practical_cori', u'0\xa0\U0001f353', u'Nemo', u'Broken!', u'2017-07-14 07:29\xa0UTC', u'2017-07-14 07:33\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'141', u'agitated_wilson', u'0\xa0\U0001f353', u'Nemo', u'Broken!', u'2017-07-14 11:10\xa0UTC', u'2017-07-14 12:11\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'142', u'quirky_mayer', u'0\xa0\U0001f353', u'yixin', u'Broken!', u'2017-07-18 11:43\xa0UTC', u'2017-07-18 11:59\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'143', u'dazzling_neumann', u'0\xa0\U0001f353', u'yixin', u'Broken!', u'2017-07-18 12:21\xa0UTC', u'2017-07-18 12:24\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'146', u'elastic_brahmagupta', u'0\xa0\U0001f353', u'bluecat', u'Broken!', u'2017-07-22 11:07\xa0UTC', u'2017-07-22 11:58\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'150', u'youthful_hawking', u'0\xa0\U0001f353', u'bluecat', u'Broken!', u'2017-07-23 12:03\xa0UTC', u'2017-07-23 15:26\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'153', u'gallant_ramanujan', u'0\xa0\U0001f353', u'uglyalgae', u'Broken!', u'2017-07-25 17:12\xa0UTC', u'2017-07-26 08:27\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'162', u'unruffled_yonath', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-07-26 23:51\xa0UTC', u'2017-07-27 06:12\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'731', u'eloquent_newton', u'0\xa0\U0001f353', u'dequeue', u'Broken!', u'2017-08-15 12:57\xa0UTC', u'2017-08-15 13:05\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'737', u'tender_knuth', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-08-15 12:57\xa0UTC', u'2017-08-15 13:12\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'738', u'priceless_stallman', u'0\xa0\U0001f353', u'geronimo', u'Broken!', u'2017-08-15 12:57\xa0UTC', u'2017-08-15 14:15\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'740', u'nostalgic_mcclintock', u'0\xa0\U0001f353', u'geronimo', u'Broken!', u'2017-08-15 12:57\xa0UTC', u'2017-08-15 13:06\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'742', u'silly_feynman', u'0\xa0\U0001f353', u'Guntram', u'Broken!', u'2017-08-15 12:57\xa0UTC', u'2017-08-15 14:06\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'743', u'inspiring_jepsen', u'0\xa0\U0001f353', u'sebastien-riou', u'Broken!', u'2017-08-15 12:57\xa0UTC', u'2017-08-15 13:07\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'744', u'unruffled_almeida', u'0\xa0\U0001f353', u'JustTesting', u'Broken!', u'2017-08-15 12:57\xa0UTC', u'2017-08-15 13:08\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'748', u'hungry_bardeen', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-08-15 12:57\xa0UTC', u'2017-08-15 13:13\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'749', u'smart_lamarr', u'0\xa0\U0001f353', u'bluecat', u'Broken!', u'2017-08-15 12:59\xa0UTC', u'2017-08-15 13:21\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'750', u'sharp_kowalevski', u'0\xa0\U0001f353', u'test1234', u'Broken!', u'2017-08-15 13:11\xa0UTC', u'2017-08-15 13:12\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'754', u'dreamy_fermi', u'0\xa0\U0001f353', u'BugsBunny', u'Broken!', u'2017-08-15 15:19\xa0UTC', u'2017-08-16 08:43\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'755', u'relaxed_allen', u'0\xa0\U0001f353', u'bluecat', u'Broken!', u'2017-08-15 16:16\xa0UTC', u'2017-08-15 16:48\xa0UTC', u'0\xa0\U0001f353']
[u'#14', u'756', u'optimistic_meninsky', u'0\xa0\U0001f353', u'chaes', u'Broken!', u'2017-08-15 17:13\xa0UTC', u'2017-08-15 17:16\xa0UTC', u'0\xa0\U0001f353']
